,Unnamed: 0,Unnamed: 0.1,time,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,mag_field_x,mag_field_y,mag_field_z,mag_new_data,pos_n,pos_e,pos_d,v_n,v_e,v_d,gnss_new_data,imu_new_data
20,20,20,0.2699995,0.9251568,-0.5191048,-9.747867,-0.0027804137,-0.0023735214,0.017837051,-14.393039,19.520504,43.142212,1,0.4414139845236778,0.3880408975236778,0.0909209715236778,0.0332421454610098,0.0294292149610098,-0.0372488875389901,0,0.0
21,21,21,0.27999973,0.96381587,-0.51911414,-9.767318,0.007075622,-0.005726604,0.017491579,-14.330341,19.520058,43.143295,1,-0.3201191823426143,-0.3735260333426143,-0.6712453833426143,0.0046340659748673,0.0009289759748673,-0.0655811520251326,0,1.0
22,22,22,0.28999996,0.9641107,-0.5191048,-9.76746,0.005021536,0.009625033,0.008159204,-14.518435,19.521399,43.14005,1,-0.0810748343917508,-0.1345255113917508,-0.4330414573917508,0.0966325066876242,0.0930325366876242,0.0267740856876242,0,1.0
23,23,23,0.29999924,0.9641107,-0.5191048,-9.76746,-0.00391608,0.0010323243,0.000118365366,-14.393039,19.520504,43.142212,1,-0.145724841443562,-0.199207531443562,-0.498319031443562,0.0672670063684612,0.0637516003684612,-0.0023242576315387,1,0.0
24,24,24,0.30999947,0.88743913,-0.50019515,-9.748193,0.014598593,-0.0052128523,-0.010571213,-14.393039,19.520504,43.142212,0,-0.2748431482350594,-0.3222549582350594,-0.6175854982350594,-0.0853612563400484,-0.0641597958400484,-0.1375393923400484,0,1.0
25,25,25,0.3199997,0.88620317,-0.49987596,-9.747867,0.0055731963,0.0062889867,-0.023362488,-14.393039,19.520504,43.142212,1,0.2654748377916398,0.2183197427916398,-0.0778924672083601,0.0220619628877955,0.0436488558877955,-0.0299132251122044,0,1.0
26,26,26,0.32999992,0.8862029,-0.4998759,-9.747867,0.012651433,-0.003972469,-0.023815028,-14.391316,19.584005,43.29062,1,-0.3111421739212152,-0.3581016559212152,-0.6549766159212153,-0.1146017083285738,-0.0927231180285738,-0.1664255563285738,0,1.0
27,27,27,0.3399992,0.8315,-0.499951,-9.729575,0.026901562,-0.0036374347,-0.029369319,-14.393039,19.520504,43.142212,1,0.0434349221417532,-0.0033260838582467,-0.3008653078582468,-0.19355329847216,-0.17128503187216,-0.24523576147216,0,1.0
28,28,28,0.34999943,0.8277729,-0.4998759,-9.728273,0.012282978,-0.0011360507,-0.022915002,-14.393039,19.520504,43.142212,0,-0.0262481847611729,-0.072738107761173,-0.3711676177611729,-0.035169451268266,-0.012261062268266,-0.086686798268266,0,1.0
29,29,29,0.35999966,0.82777196,-0.4998759,-9.728273,0.022822766,-0.0051686987,-0.016437126,-14.329895,19.45639,43.14338,1,0.1431284408803097,0.0968468058803097,-0.2022541241196902,-0.0337933550941852,-0.0104169004941852,-0.0851936250941852,0,1.0
30,30,30,0.3699999,0.8960935,-0.51685137,-9.779861,0.009765005,-0.0049320525,-0.009204312,-14.329257,19.519974,43.217537,1,-0.0072210706558006,-0.0532903146558007,-0.3530658046558007,0.052331540736617,0.076145559036617,0.000996614736617,0,1.0
31,31,31,0.3800001,0.9056775,-0.51910424,-9.787053,0.0032308868,0.0057083373,0.003968395,-14.392592,19.456837,43.142296,1,0.0710999733066512,0.0253196243066512,-0.2753611556933487,-0.0660471863208671,-0.0417136885208671,-0.1174422643208671,0,1.0
32,32,32,0.3899994,0.9056798,-0.5191048,-9.787055,0.0111092,0.007901172,0.010321468,-14.329448,19.392721,43.143463,1,-0.0869111412181491,-0.1324707382181491,-0.4338350782181491,-0.0097200660914682,0.0150018619085317,-0.0611638140914682,0,1.0
33,33,33,0.39999962,0.93550396,-0.51970565,-9.768075,0.0010523234,0.010305646,0.018106356,-14.329448,19.392721,43.143463,0,-0.1001476118512764,-0.1454830268512764,-0.4475346168512764,0.0819227340386353,0.1070015225386353,0.0305234780386353,1,1.0
