,time,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,mag_field_x,mag_field_y,mag_field_z,mag_new_data,pos_n,pos_e,pos_d,v_n,v_e,v_d,gnss_new_data
24,0.30999947,0.88743913,-0.50019515,-9.748193,0.014598593,-0.0052128523,-0.010571213,-14.393039,19.520504,43.142212,0,-0.02073866,-0.06815047,-0.36348101,-0.026721144,-0.0055196835,-0.07889928,0
25,0.3199997,0.88620317,-0.49987596,-9.747867,0.0055731963,0.0062889867,-0.023362488,-14.393039,19.520504,43.142212,1,-0.021059895,-0.06821499,-0.3644272,-0.026818112,-0.005231219,-0.0787933,0
26,0.32999992,0.8862029,-0.4998759,-9.747867,0.012651433,-0.003972469,-0.023815028,-14.391316,19.584005,43.29062,1,-0.021301588,-0.06826107,-0.36513603,-0.026889807,-0.0050112167,-0.078713655,0
27,0.3399992,0.8315,-0.499951,-9.729575,0.026901562,-0.0036374347,-0.029369319,-14.393039,19.520504,43.142212,1,-0.02154363,-0.068304636,-0.36584386,-0.026847487,-0.0045792204,-0.07852995,0
28,0.34999943,0.8277729,-0.4998759,-9.728273,0.012282978,-0.0011360507,-0.022915002,-14.393039,19.520504,43.142212,0,-0.021864397,-0.06835432,-0.36678383,-0.026611088,-0.003702699,-0.078128435,0
29,0.35999966,0.82777196,-0.4998759,-9.728273,0.022822766,-0.0051686987,-0.016437126,-14.329895,19.45639,43.14338,1,-0.022103075,-0.06838471,-0.36748564,-0.02642652,-0.0030500654,-0.07782679,0
30,0.3699999,0.8960935,-0.51685137,-9.779861,0.009765005,-0.0049320525,-0.009204312,-14.329257,19.519974,43.217537,1,-0.022340246,-0.06840949,-0.36818498,-0.026364824,-0.0025508057,-0.07769975,0
31,0.3800001,0.9056775,-0.51910424,-9.787053,0.0032308868,0.0057083373,0.003968395,-14.392592,19.456837,43.142296,1,-0.022658601,-0.06843895,-0.36911973,-0.026694652,-0.0023611542,-0.07808973,0
32,0.3899994,0.9056798,-0.5191048,-9.787055,0.0111092,0.007901172,0.010321468,-14.329448,19.392721,43.143463,1,-0.022899963,-0.06845956,-0.3698239,-0.026941076,-0.002219148,-0.078384824,0
33,0.39999962,0.93550396,-0.51970565,-9.768075,0.0010523234,0.010305646,0.018106356,-14.329448,19.392721,43.143463,0,-0.023143595,-0.06847901,-0.3705306,-0.027232034,-0.0021532455,-0.07863129,1
34,0.40999985,0.96410376,-0.51910496,-9.747872,0.0042308657,0.008918363,0.023290649,-14.455289,19.457283,43.141216,1,-0.015785262,-0.06855794,-0.36490402,0.00703724,-0.009377938,-0.08161447,0
35,0.42000008,0.9641107,-0.5191048,-9.747867,0.017794559,0.008924402,0.021845235,-14.51952,19.521482,43.0658,1,-0.015723271,-0.06864399,-0.36563852,0.0067389654,-0.009743159,-0.08160906,0
36,0.42999935,0.9641107,-0.5191048,-9.747867,0.012951236,0.0019268672,0.023715118,-14.454205,19.4572,43.215454,1,-0.015663922,-0.06873332,-0.366373,0.006451317,-0.010108295,-0.081603706,0
37,0.43999958,0.8862415,-0.5191054,-9.787038,0.013687518,0.0028488757,0.017315984,-14.454205,19.4572,43.215454,0,-0.015586173,-0.068853125,-0.36735427,0.006534617,-0.009819144,-0.08195426,0
38,0.4499998,0.88620293,-0.5191048,-9.787055,0.015053138,0.0012281162,0.009237217,-14.330788,19.583727,43.14321,1,-0.015526917,-0.06894034,-0.36809316,0.0066334046,-0.009560045,-0.082236834,0
39,0.46000004,0.8862029,-0.5191048,-9.787055,0.013775973,-0.009338477,0.0027440712,-14.393039,19.520504,43.142212,1,-0.015466747,-0.069025226,-0.36883458,0.006738944,-0.00930475,-0.08251942,0
40,0.4699993,0.88620406,-0.5191059,-9.747906,0.020486386,0.00024166802,-0.008889583,-14.329703,19.583643,43.217453,1,-0.015385216,-0.06913505,-0.36982498,0.0068468987,-0.008999935,-0.08249767,0
41,0.47999954,0.8862029,-0.5191048,-9.747867,0.008615003,0.00184074,-0.014425239,-14.329703,19.583643,43.217453,0,-0.015323215,-0.069215044,-0.37056714,0.0069317613,-0.008777799,-0.08242948,0
42,0.48999977,0.8862029,-0.5191048,-9.747867,0.012580589,-0.0068737487,-0.015249444,-14.391508,19.456753,43.216537,1,-0.015260435,-0.06929303,-0.3713087,0.007020296,-0.008556031,-0.08236127,0
43,0.5,0.92500937,-0.5191095,-9.767389,-0.00033114842,-0.005276028,-0.010248344,-14.330341,19.520058,43.143295,1,-0.019285938,-0.06996722,-0.3665682,-0.0150896115,-0.018244512,-0.08931696,1
44,0.5099993,0.9251565,-0.5191048,-9.76746,-0.013248319,-0.0028348435,-0.0024008844,-14.391508,19.456753,43.216537,1,-0.019422704,-0.070132054,-0.3673727,-0.015304158,-0.01838584,-0.08946154,0
45,0.5199995,0.9251568,-0.5191048,-9.76746,-0.0048805047,-0.0041987617,0.0034371426,-14.456182,19.58462,43.14105,1,-0.019561457,-0.07029814,-0.36817843,-0.01553074,-0.018523628,-0.08960614,0
46,0.52999973,0.9251758,-0.51912355,-9.76748,-0.0060148765,0.0015913468,0.0075372052,-14.456182,19.58462,43.14105,0,-0.019749722,-0.07052151,-0.36925483,-0.015850544,-0.018704109,-0.089799486,0
47,0.53999996,0.9251568,-0.51910484,-9.767462,-0.0073112673,-0.0014582817,0.00858932,-14.391508,19.456753,43.216537,1,-0.019893501,-0.07069044,-0.37006363,-0.016100898,-0.018834213,-0.08994406,0
48,0.54999924,0.9251568,-0.5191048,-9.767462,0.015196752,-0.0035030257,0.008040857,-14.517988,19.45773,43.140133,1,-0.02003957,-0.07086053,-0.37087375,-0.016358584,-0.01896131,-0.090088606,0
49,0.55999947,0.8685899,-0.51914227,-9.748519,0.004673064,0.0075639593,0.0061766785,-14.329895,19.45639,43.14338,1,-0.020237548,-0.07108838,-0.3719556,-0.016566994,-0.01887755,-0.09015551,0
50,0.5699997,0.86672956,-0.51910484,-9.747869,0.016244452,0.0055675944,0.0025660493,-14.329895,19.45639,43.14338,0,-0.020386739,-0.071256824,-0.37276667,-0.01658459,-0.01855481,-0.09007872,0
51,0.5789995,0.8667259,-0.5191048,-9.747867,0.02056065,-0.0013948958,-0.0014796718,-14.391954,19.52042,43.216454,1,-0.020536043,-0.07142235,-0.37357706,-0.016593248,-0.01823152,-0.09000158,0
52,0.58899975,0.8667259,-0.5191048,-9.747867,0.022111027,-0.0018543972,-0.008227085,-14.391954,19.52042,43.216454,1,-0.020685393,-0.07158499,-0.37438676,-0.016593184,-0.017914176,-0.08992447,0
53,0.599,0.88619834,-0.53832924,-9.747867,0.038075898,-0.0008520097,-0.013613314,-14.33098,19.456474,43.069134,1,-0.014775082,-0.07139015,-0.3682694,0.011633697,-0.022577938,-0.09042499,1
54,0.60899925,0.8862029,-0.53833365,-9.747867,0.0152694555,-0.0025936456,-0.015314659,-14.33098,19.456474,43.069134,0,-0.0146704875,-0.07159247,-0.369083,0.011610868,-0.02238267,-0.090372905,0
55,0.6189995,0.8862029,-0.53833365,-9.747867,-0.0024091064,-0.009594711,-0.018737465,-14.330341,19.520058,43.143295,1,-0.014566069,-0.07179305,-0.36989608,0.011593497,-0.02219248,-0.09032082,0
56,0.70899963,0.8472489,-0.57679135,-9.728273,0.04851498,-0.003215301,-0.007360352,-14.393039,19.520504,43.142212,1,-0.013996762,-0.06958323,-0.37129864,0.0073072333,-0.009050535,-0.09325164,1
57,0.71899986,0.88561326,-0.4632396,-9.766867,0.022919906,-0.011175894,-0.012402254,-14.393039,19.520504,43.142212,0,-0.013909229,-0.069687195,-0.37241635,0.0075336345,-0.008534667,-0.093137205,0
58,0.7290001,0.8862017,-0.4614217,-9.76746,0.014727312,-0.011943341,-0.020178083,-14.300626,19.511066,43.218044,1,-0.013838745,-0.06976424,-0.37325495,0.0081300745,-0.0085878195,-0.09322674,0
59,0.73899937,0.8862029,-0.46141812,-9.76746,-0.0044633383,-0.016862066,-0.022598835,-14.300626,19.511066,43.218044,0,-0.013762887,-0.06984181,-0.3740945,0.008725344,-0.008651539,-0.093316495,0
60,0.7489996,0.97757715,-0.51557446,-9.767538,-0.03832275,0.005533174,-0.017991502,-14.30171,19.51115,43.143803,1,-0.0136545915,-0.06994682,-0.3752152,0.009078425,-0.008989789,-0.09348893,0
61,0.7589998,0.9835759,-0.51909786,-9.767462,-0.03538938,0.013718066,-0.015046962,-14.425799,19.51196,43.21588,1,-0.013574287,-0.07003027,-0.37605745,0.0087606935,-0.009551664,-0.0936835,0
62,0.76900005,0.9835876,-0.5191048,-9.767462,-0.036981378,0.01515142,-0.005958038,-14.363404,19.38438,43.142887,1,-0.013496987,-0.070118666,-0.37690145,0.008414474,-0.010088167,-0.09387842,0
63,0.7789993,0.9108534,-0.5338269,-9.767768,-0.019094396,0.0074875704,0.0062551103,-14.363851,19.447989,43.142803,1,-0.0133988615,-0.07024351,-0.3780295,0.0079822475,-0.010551832,-0.09412194,0
64,0.78899956,0.886251,-0.53832483,-9.767462,0.004575772,-0.00049530907,0.011728194,-14.363851,19.447989,43.142803,0,-0.013327598,-0.07033693,-0.37887716,0.007855076,-0.010201367,-0.09424795,0
65,0.7989998,0.886203,-0.53833365,-9.767462,0.029730491,-0.0035092274,0.018904366,-14.426437,19.448435,43.141724,1,-0.013257468,-0.07042713,-0.37972596,0.007730767,-0.009841148,-0.094372995,1
66,0.809,0.86733454,-0.51970565,-9.738683,0.055401333,-0.006646356,0.024197955,-14.363851,19.447989,43.142803,1,-0.017942715,-0.07177454,-0.3711779,-0.016430061,-0.021849813,-0.084763065,0
67,0.8189993,0.84728813,-0.49991462,-9.708739,0.059862565,-0.009169127,0.022812601,-14.364297,19.511597,43.14272,1,-0.018089749,-0.07196963,-0.3719388,-0.01623369,-0.021504078,-0.084319375,0
68,0.8289995,0.847249,-0.49987596,-9.708681,0.052259732,-0.0059929243,0.01831794,-14.364297,19.511597,43.14272,0,-0.018234788,-0.0721617,-0.3726956,-0.015992733,-0.021183142,-0.08386178,0
69,0.83899975,0.8472489,-0.4998759,-9.708681,0.022245485,-0.002618909,0.009996895,-14.426884,19.512043,43.14164,1,-0.018424546,-0.072413504,-0.37369823,-0.015627,-0.020787999,-0.08325163,0
70,0.849,0.94425815,-0.49988055,-9.786755,-0.005423627,0.0032703762,0.00010313978,-14.364743,19.575205,43.142635,1,-0.018565264,-0.0726021,-0.37444842,-0.015662622,-0.021162786,-0.083499685,0
71,0.85899925,0.944633,-0.4998759,-9.787055,-0.029352011,0.0071342476,-0.009381654,-14.302349,19.447626,43.069637,1,-0.018706556,-0.07279454,-0.3752013,-0.015737763,-0.021599993,-0.08382044,0
72,0.86399937,0.9446337,-0.4998759,-9.787055,-0.042853713,0.0067141238,-0.012478872,-14.302349,19.447626,43.069637,0,-0.018801164,-0.07292499,-0.37570485,-0.015799474,-0.021881599,-0.08403441,0
73,0.86399937,0.9446337,-0.4998759,-9.787055,-0.042853713,0.0067141238,-0.012478872,-14.3008175,19.383934,43.14397,1,-0.018801164,-0.07292499,-0.37570485,-0.015799474,-0.021881599,-0.08403441,0
74,0.86399937,0.9446337,-0.4998759,-9.787055,-0.042853713,0.0067141238,-0.012478872,-14.363851,19.447989,43.142803,1,-0.018801164,-0.07292499,-0.37570485,-0.015799474,-0.021881599,-0.08403441,0
75,0.86399937,0.9446337,-0.4998759,-9.787055,-0.042853713,0.0067141238,-0.012478872,-14.362766,19.447905,43.217045,1,-0.018801164,-0.07292499,-0.37570485,-0.015799474,-0.021881599,-0.08403441,0
76,0.8649988,0.9446337,-0.4998759,-9.787055,-0.042853713,0.0067141238,-0.012478872,-14.300626,19.511066,43.218044,1,-0.018801164,-0.07292499,-0.37570485,-0.015799474,-0.021881599,-0.08403441,1
77,0.8739996,0.8280026,-0.5382609,-9.767501,0.04830664,0.003288243,-0.0075030015,-14.300626,19.511066,43.218044,0,-0.015558696,-0.06969994,-0.36874586,-0.0007816718,-0.011396552,-0.08237298,0
78,0.8830004,0.82777244,-0.5383335,-9.767462,0.05835998,-0.0013464608,-0.0013414114,-14.363404,19.38438,43.142887,1,-0.015564853,-0.0697993,-0.36948752,-0.000581519,-0.010683166,-0.08244151,0
79,0.89199924,0.87905115,-0.5216586,-9.750469,0.05103496,-0.0046823155,-0.0041685845,-14.361236,19.384212,43.291378,1,-0.015569102,-0.069892555,-0.37022972,-0.0003804989,-0.01015104,-0.082470484,0
80,0.901,0.8861889,-0.5191097,-9.747872,0.025994325,-0.009171153,-0.00092735054,-14.48794,19.448795,43.21488,1,-0.01557187,-0.06998333,-0.37097168,-0.00023188752,-0.010026273,-0.08240237,0
81,0.91100025,0.8862029,-0.5191048,-9.747867,-0.014112242,-0.027614215,0.0033729342,-14.48794,19.448795,43.21488,0,-0.015573248,-0.07007308,-0.371713,-7.5563126e-05,-0.009919584,-0.08233337,0
